Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Argentina,Both,Upper middle income,"136,348 (119,436<e2><80><93>153,855)",23.692 (20.753<e2><80><93>26.734),9.929 (8.700<e2><80><93>11.203),1.7215 (1.5080<e2><80><93>1.9425)
Belize,Both,Upper middle income,444 (360<e2><80><93>536),0.035 (0.028<e2><80><93>0.042),0.015 (0.012<e2><80><93>0.018),0.6205 (0.5031<e2><80><93>0.7502)
Dominica,Both,Upper middle income,154 (113<e2><80><93>202),0.018 (0.013<e2><80><93>0.024),0.008 (0.006<e2><80><93>0.010),1.3315 (0.9749<e2><80><93>1.7446)
Dominican Republic,Both,Upper middle income,"16,119 (11,381<e2><80><93>21,739)",2.395 (1.691<e2><80><93>3.230),1.072 (0.756<e2><80><93>1.446),0.8179 (0.5775<e2><80><93>1.1030)
Grenada,Both,Upper middle income,265 (210<e2><80><93>325),0.029 (0.023<e2><80><93>0.035),0.013 (0.010<e2><80><93>0.016),1.3002 (1.0293<e2><80><93>1.5976)
Haiti,Both,Lower middle income,"9,275 (5,871<e2><80><93>14,654)",0.176 (0.111<e2><80><93>0.277),0.094 (0.059<e2><80><93>0.148),0.4582 (0.2901<e2><80><93>0.7240)
Jamaica,Both,Upper middle income,"3,773 (3,064<e2><80><93>4,635)",0.274 (0.223<e2><80><93>0.337),0.118 (0.096<e2><80><93>0.145),0.7639 (0.6204<e2><80><93>0.9383)
Saint Lucia,Both,Upper middle income,355 (281<e2><80><93>433),0.053 (0.042<e2><80><93>0.065),0.023 (0.018<e2><80><93>0.028),1.1381 (0.9019<e2><80><93>1.3889)
Saint Vincent and the Grenadines,Both,Upper middle income,193 (153<e2><80><93>240),0.022 (0.017<e2><80><93>0.027),0.010 (0.008<e2><80><93>0.012),1.0951 (0.8697<e2><80><93>1.3609)
Suriname,Both,Upper middle income,"992 (706<e2><80><93>1,362)",0.120 (0.086<e2><80><93>0.165),0.054 (0.039<e2><80><93>0.075),0.9073 (0.6454<e2><80><93>1.2448)
Bolivia (Plurinational State of),Both,Lower middle income,"18,023 (12,450<e2><80><93>24,886)",1.336 (0.923<e2><80><93>1.845),0.605 (0.418<e2><80><93>0.836),0.8463 (0.5846<e2><80><93>1.1686)
Ecuador,Both,Upper middle income,"17,288 (15,158<e2><80><93>19,421)",1.582 (1.387<e2><80><93>1.777),0.673 (0.590<e2><80><93>0.756),0.5528 (0.4847<e2><80><93>0.6210)
Peru,Both,Upper middle income,"50,989 (42,910<e2><80><93>61,457)",4.987 (4.197<e2><80><93>6.011),2.105 (1.772<e2><80><93>2.538),0.8662 (0.7289<e2><80><93>1.0440)
Colombia,Both,Upper middle income,"63,591 (58,293<e2><80><93>68,992)",7.658 (7.020<e2><80><93>8.308),3.148 (2.886<e2><80><93>3.414),0.6988 (0.6406<e2><80><93>0.7581)
El Salvador,Both,Upper middle income,"9,740 (7,221<e2><80><93>12,699)",0.710 (0.526<e2><80><93>0.926),0.316 (0.235<e2><80><93>0.412),0.8875 (0.6580<e2><80><93>1.1572)
Guatemala,Both,Upper middle income,"9,985 (8,225<e2><80><93>12,046)",0.789 (0.650<e2><80><93>0.952),0.357 (0.294<e2><80><93>0.431),0.3167 (0.2609<e2><80><93>0.3821)
Honduras,Both,Lower middle income,"5,886 (3,850<e2><80><93>8,468)",0.243 (0.159<e2><80><93>0.350),0.105 (0.069<e2><80><93>0.151),0.3179 (0.2080<e2><80><93>0.4574)
Mexico,Both,Upper middle income,"149,820 (133,707<e2><80><93>166,958)",21.464 (19.155<e2><80><93>23.919),9.398 (8.387<e2><80><93>10.475),0.6639 (0.5925<e2><80><93>0.7399)
Nicaragua,Both,Lower middle income,"5,265 (3,782<e2><80><93>7,131)",0.252 (0.181<e2><80><93>0.341),0.108 (0.078<e2><80><93>0.147),0.4437 (0.3186<e2><80><93>0.6008)
Brazil,Both,Upper middle income,"395,519 (367,297<e2><80><93>421,752)",48.154 (44.718<e2><80><93>51.348),20.879 (19.393<e2><80><93>22.262),1.0770 (1.0002<e2><80><93>1.1485)
Paraguay,Both,Upper middle income,"9,015 (7,232<e2><80><93>11,284)",0.910 (0.730<e2><80><93>1.140),0.408 (0.327<e2><80><93>0.510),0.7573 (0.6075<e2><80><93>0.9479)
Algeria,Both,Upper middle income,"20,716 (12,701<e2><80><93>30,445)",2.004 (1.229<e2><80><93>2.945),0.857 (0.525<e2><80><93>1.260),0.2580 (0.1582<e2><80><93>0.3792)
Egypt,Both,Lower middle income,"125,082 (88,852<e2><80><93>166,493)",13.322 (9.463<e2><80><93>17.733),6.158 (4.374<e2><80><93>8.198),0.6279 (0.4460<e2><80><93>0.8358)
Iran (Islamic Republic of),Both,Upper middle income,"79,295 (55,373<e2><80><93>106,820)",8.624 (6.023<e2><80><93>11.618),3.629 (2.535<e2><80><93>4.889),0.5032 (0.3514<e2><80><93>0.6778)
Iraq,Both,Upper middle income,"57,939 (43,482<e2><80><93>72,724)",4.881 (3.663<e2><80><93>6.127),2.261 (1.695<e2><80><93>2.836),0.7391 (0.5546<e2><80><93>0.9276)
Jordan,Both,Lower middle income,"13,545 (9,771<e2><80><93>17,949)",0.811 (0.585<e2><80><93>1.074),0.337 (0.243<e2><80><93>0.447),0.6808 (0.4911<e2><80><93>0.9021)
Lebanon,Both,Lower middle income,"11,587 (8,638<e2><80><93>15,313)",0.838 (0.624<e2><80><93>1.107),0.354 (0.264<e2><80><93>0.468),1.1539 (0.8602<e2><80><93>1.5250)
Libya,Both,Upper middle income,"9,852 (6,223<e2><80><93>14,631)",0.784 (0.495<e2><80><93>1.165),0.365 (0.231<e2><80><93>0.542),0.7753 (0.4897<e2><80><93>1.1515)
Morocco,Both,Lower middle income,"21,304 (13,770<e2><80><93>31,309)",1.212 (0.783<e2><80><93>1.781),0.536 (0.346<e2><80><93>0.786),0.3199 (0.2067<e2><80><93>0.4701)
Palestine,Both,Lower middle income,"3,924 (2,812<e2><80><93>5,134)",0.134 (0.096<e2><80><93>0.176),0.068 (0.049<e2><80><93>0.089),0.4367 (0.3130<e2><80><93>0.5715)
Tunisia,Both,Lower middle income,"20,364 (14,682<e2><80><93>26,499)",1.644 (1.185<e2><80><93>2.139),0.714 (0.515<e2><80><93>0.929),0.9597 (0.6919<e2><80><93>1.2488)
Afghanistan,Both,Low income,"4,763 (2,768<e2><80><93>9,305)",0.060 (0.035<e2><80><93>0.118),0.030 (0.017<e2><80><93>0.058),0.0661 (0.0384<e2><80><93>0.1291)
Bangladesh,Both,Lower middle income,"86,463 (56,191<e2><80><93>125,007)",4.548 (2.955<e2><80><93>6.575),2.063 (1.341<e2><80><93>2.983),0.2899 (0.1884<e2><80><93>0.4192)
Bhutan,Both,Lower middle income,332 (206<e2><80><93>487),0.031 (0.019<e2><80><93>0.045),0.014 (0.009<e2><80><93>0.020),0.2429 (0.1504<e2><80><93>0.3561)
India,Both,Lower middle income,"591,785 (415,642<e2><80><93>819,313)",35.125 (24.670<e2><80><93>48.630),16.051 (11.274<e2><80><93>22.223),0.2366 (0.1662<e2><80><93>0.3276)
Nepal,Both,Lower middle income,"8,928 (5,730<e2><80><93>13,052)",0.277 (0.178<e2><80><93>0.405),0.123 (0.079<e2><80><93>0.179),0.1729 (0.1110<e2><80><93>0.2527)
Pakistan,Both,Lower middle income,"94,823 (61,645<e2><80><93>137,330)",3.279 (2.132<e2><80><93>4.749),1.537 (1.000<e2><80><93>2.227),0.2203 (0.1432<e2><80><93>0.3190)
Angola,Both,Lower middle income,"10,743 (7,145<e2><80><93>15,391)",0.602 (0.401<e2><80><93>0.863),0.307 (0.204<e2><80><93>0.440),0.1681 (0.1118<e2><80><93>0.2408)
Central African Republic,Both,Low income,"1,256 (730<e2><80><93>2,001)",0.009 (0.005<e2><80><93>0.014),0.005 (0.003<e2><80><93>0.009),0.1401 (0.0815<e2><80><93>0.2233)
Congo,Both,Lower middle income,"2,254 (1,509<e2><80><93>3,211)",0.089 (0.059<e2><80><93>0.126),0.045 (0.030<e2><80><93>0.065),0.2096 (0.1403<e2><80><93>0.2986)
Democratic Republic of the Congo,Both,Low income,"31,893 (20,044<e2><80><93>45,372)",0.317 (0.199<e2><80><93>0.451),0.169 (0.106<e2><80><93>0.240),0.1733 (0.1089<e2><80><93>0.2466)
Equatorial Guinea,Both,Upper middle income,"985 (614<e2><80><93>1,438)",0.099 (0.061<e2><80><93>0.144),0.052 (0.032<e2><80><93>0.076),0.3064 (0.1910<e2><80><93>0.4475)
Gabon,Both,Upper middle income,"1,375 (923<e2><80><93>1,875)",0.164 (0.110<e2><80><93>0.224),0.080 (0.054<e2><80><93>0.109),0.3180 (0.2135<e2><80><93>0.4338)
Burundi,Both,Low income,"3,378 (2,178<e2><80><93>4,912)",0.022 (0.014<e2><80><93>0.032),0.012 (0.008<e2><80><93>0.017),0.1419 (0.0915<e2><80><93>0.2063)
Comoros,Both,Lower middle income,166 (110<e2><80><93>237),0.004 (0.002<e2><80><93>0.005),0.002 (0.001<e2><80><93>0.002),0.1124 (0.0746<e2><80><93>0.1601)
Djibouti,Both,Lower middle income,567 (358<e2><80><93>853),0.024 (0.015<e2><80><93>0.035),0.011 (0.007<e2><80><93>0.017),0.2827 (0.1787<e2><80><93>0.4253)
Kenya,Both,Lower middle income,"24,996 (17,333<e2><80><93>34,292)",0.908 (0.630<e2><80><93>1.245),0.418 (0.290<e2><80><93>0.574),0.2597 (0.1801<e2><80><93>0.3563)
Madagascar,Both,Low income,"11,433 (7,235<e2><80><93>17,272)",0.119 (0.075<e2><80><93>0.180),0.060 (0.038<e2><80><93>0.091),0.2107 (0.1333<e2><80><93>0.3183)
Malawi,Both,Low income,"2,735 (1,790<e2><80><93>3,929)",0.029 (0.019<e2><80><93>0.041),0.015 (0.010<e2><80><93>0.021),0.0745 (0.0488<e2><80><93>0.1070)
Mauritius,Both,Upper middle income,"2,408 (2,013<e2><80><93>2,868)",0.409 (0.342<e2><80><93>0.487),0.180 (0.151<e2><80><93>0.215),1.1086 (0.9269<e2><80><93>1.3204)
Mozambique,Both,Low income,"1,161 (769<e2><80><93>1,696)",0.011 (0.007<e2><80><93>0.016),0.006 (0.004<e2><80><93>0.008),0.0199 (0.0131<e2><80><93>0.0290)
Rwanda,Both,Low income,"7,566 (4,943<e2><80><93>10,743)",0.148 (0.097<e2><80><93>0.210),0.074 (0.048<e2><80><93>0.104),0.3117 (0.2037<e2><80><93>0.4426)
Somalia,Both,Low income,"2,159 (1,391<e2><80><93>3,262)",0.019 (0.012<e2><80><93>0.029),0.010 (0.006<e2><80><93>0.015),0.0676 (0.0435<e2><80><93>0.1022)
United Republic of Tanzania,Both,Lower middle income,"10,107 (6,639<e2><80><93>14,325)",0.234 (0.153<e2><80><93>0.331),0.109 (0.072<e2><80><93>0.154),0.0900 (0.0591<e2><80><93>0.1276)
Uganda,Both,Low income,"20,303 (13,341<e2><80><93>28,708)",0.362 (0.238<e2><80><93>0.511),0.178 (0.117<e2><80><93>0.251),0.2399 (0.1576<e2><80><93>0.3392)
Zambia,Both,Lower middle income,"3,547 (2,263<e2><80><93>5,142)",0.083 (0.053<e2><80><93>0.121),0.044 (0.028<e2><80><93>0.063),0.0984 (0.0628<e2><80><93>0.1427)
Botswana,Both,Upper middle income,"1,282 (803<e2><80><93>1,927)",0.155 (0.097<e2><80><93>0.233),0.073 (0.045<e2><80><93>0.109),0.2972 (0.1862<e2><80><93>0.4467)
Lesotho,Both,Lower middle income,"1,058 (674<e2><80><93>1,492)",0.018 (0.011<e2><80><93>0.025),0.010 (0.006<e2><80><93>0.014),0.2633 (0.1678<e2><80><93>0.3712)
Namibia,Both,Lower middle income,665 (442<e2><80><93>905),0.043 (0.029<e2><80><93>0.059),0.021 (0.014<e2><80><93>0.029),0.1291 (0.0858<e2><80><93>0.1756)
South Africa,Both,Upper middle income,"78,180 (63,457<e2><80><93>98,085)",6.832 (5.546<e2><80><93>8.572),3.383 (2.748<e2><80><93>4.242),0.7111 (0.5772<e2><80><93>0.8921)
Eswatini,Both,Lower middle income,563 (359<e2><80><93>837),0.037 (0.023<e2><80><93>0.054),0.020 (0.013<e2><80><93>0.029),0.2632 (0.1677<e2><80><93>0.3910)
Zimbabwe,Both,Lower middle income,"7,384 (4,717<e2><80><93>10,406)",0.246 (0.157<e2><80><93>0.346),0.121 (0.077<e2><80><93>0.170),0.2598 (0.1660<e2><80><93>0.3661)
Benin,Both,Lower middle income,"4,365 (2,902<e2><80><93>6,167)",0.104 (0.069<e2><80><93>0.146),0.051 (0.034<e2><80><93>0.072),0.1778 (0.1182<e2><80><93>0.2513)
Burkina Faso,Both,Low income,"4,959 (3,294<e2><80><93>6,833)",0.079 (0.052<e2><80><93>0.108),0.038 (0.025<e2><80><93>0.052),0.1238 (0.0823<e2><80><93>0.1706)
Cameroon,Both,Lower middle income,"13,570 (8,979<e2><80><93>19,509)",0.422 (0.279<e2><80><93>0.607),0.219 (0.145<e2><80><93>0.315),0.2750 (0.1820<e2><80><93>0.3953)
Cabo Verde,Both,Upper middle income,"912 (620<e2><80><93>1,277)",0.054 (0.036<e2><80><93>0.075),0.023 (0.016<e2><80><93>0.032),1.0042 (0.6822<e2><80><93>1.4054)
Chad,Both,Low income,"3,735 (2,397<e2><80><93>5,535)",0.058 (0.037<e2><80><93>0.086),0.032 (0.021<e2><80><93>0.048),0.1111 (0.0713<e2><80><93>0.1647)
Gambia,Both,Low income,391 (261<e2><80><93>555),0.007 (0.005<e2><80><93>0.010),0.004 (0.002<e2><80><93>0.005),0.0834 (0.0556<e2><80><93>0.1183)
Ghana,Both,Lower middle income,"17,347 (11,474<e2><80><93>24,713)",0.754 (0.499<e2><80><93>1.074),0.371 (0.245<e2><80><93>0.528),0.2952 (0.1953<e2><80><93>0.4205)
Guinea,Both,Lower middle income,"1,807 (1,209<e2><80><93>2,553)",0.045 (0.030<e2><80><93>0.064),0.023 (0.015<e2><80><93>0.033),0.0721 (0.0483<e2><80><93>0.1019)
Guinea-Bissau,Both,Low income,532 (348<e2><80><93>748),0.009 (0.006<e2><80><93>0.013),0.005 (0.003<e2><80><93>0.007),0.1421 (0.0929<e2><80><93>0.1998)
Liberia,Both,Low income,"2,295 (1,474<e2><80><93>3,415)",0.024 (0.015<e2><80><93>0.035),0.013 (0.008<e2><80><93>0.019),0.2402 (0.1543<e2><80><93>0.3575)
Mali,Both,Low income,"11,999 (8,038<e2><80><93>16,682)",0.219 (0.147<e2><80><93>0.304),0.112 (0.075<e2><80><93>0.156),0.2902 (0.1944<e2><80><93>0.4035)
Mauritania,Both,Lower middle income,"2,338 (1,520<e2><80><93>3,365)",0.094 (0.061<e2><80><93>0.135),0.044 (0.029<e2><80><93>0.063),0.2677 (0.1740<e2><80><93>0.3852)
Niger,Both,Low income,"6,191 (4,011<e2><80><93>8,614)",0.067 (0.043<e2><80><93>0.093),0.036 (0.023<e2><80><93>0.050),0.1361 (0.0882<e2><80><93>0.1893)
Nigeria,Both,Lower middle income,"25,242 (16,435<e2><80><93>35,464)",1.263 (0.823<e2><80><93>1.775),0.638 (0.415<e2><80><93>0.896),0.0637 (0.0415<e2><80><93>0.0895)
Sao Tome and Principe,Both,Lower middle income,38 (24<e2><80><93>54),0.001 (0.001<e2><80><93>0.002),0.001 (0.000<e2><80><93>0.001),0.0938 (0.0601<e2><80><93>0.1342)
Senegal,Both,Lower middle income,"5,541 (3,649<e2><80><93>7,928)",0.152 (0.100<e2><80><93>0.218),0.070 (0.046<e2><80><93>0.101),0.1762 (0.1161<e2><80><93>0.2522)
Sierra Leone,Both,Low income,"2,776 (1,781<e2><80><93>3,961)",0.054 (0.034<e2><80><93>0.077),0.030 (0.019<e2><80><93>0.042),0.1886 (0.1210<e2><80><93>0.2692)
Togo,Both,Low income,"2,987 (1,932<e2><80><93>4,293)",0.054 (0.035<e2><80><93>0.078),0.027 (0.018<e2><80><93>0.039),0.1846 (0.1194<e2><80><93>0.2653)
Tuvalu,Both,Upper middle income,15 (10<e2><80><93>20),0.001 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.8518 (0.5595<e2><80><93>1.1947)
Sudan,Both,Low income,"20,318 (12,232<e2><80><93>30,850)",0.283 (0.170<e2><80><93>0.429),0.133 (0.080<e2><80><93>0.202),0.2334 (0.1405<e2><80><93>0.3544)
