series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Upper middle income,DALY,ETS,2017,4,4563149.599848968,4763457.457938538,4429593.272459274,5097321.643417802,-200307.85808956996,200307.85808956996,4.389684223725643,1,79950.20564842482,2.5054076654963104
Upper middle income,DALY,ETS,2017,5,4873067.147893458,4919746.417885292,4471120.969547915,5368371.866222669,-46679.26999183465,46679.26999183465,0.9579032788828549,1,79950.20564842482,0.5838542829658666
Upper middle income,DALY,ETS,2017,6,4858325.573486687,5072909.58547199,4500176.302809099,5645642.86813488,-214584.0119853029,214584.0119853029,4.416830628979479,1,79950.20564842482,2.683970732094429
Upper middle income,DALY,ARIMA,2017,1,4163097.716688447,4221130.210176178,4168063.995251192,4274196.425101165,-58032.49348773109,58032.49348773109,1.3939738492108533,0,79950.20564842482,0.7258579639297582
Upper middle income,DALY,ARIMA,2017,2,4170876.9996002666,4295011.176867124,4177224.325495441,4412798.028238806,-124134.17726685712,124134.17726685712,2.976212851128289,0,79950.20564842482,1.5526436268685548
Upper middle income,DALY,ARIMA,2017,3,4222895.9903025245,4353405.339968169,4175774.1338043576,4531036.546131981,-130509.34966564458,130509.34966564458,3.090517738664338,1,79950.20564842482,1.6323829139295765
Upper middle income,DALY,ARIMA,2017,4,4563149.599848968,4414839.594531078,4190291.950423759,4639387.238638397,148310.00531789009,148310.00531789009,3.250167501034787,1,79950.20564842482,1.8550296914816267
Upper middle income,DALY,ARIMA,2017,5,4873067.147893458,4486064.730629429,4226869.743690032,4745259.717568827,387002.41726402845,387002.41726402845,7.941659852385224,0,79950.20564842482,4.840543112119602
Upper middle income,DALY,ARIMA,2017,6,4858325.573486687,4565564.358470558,4280034.669651589,4851094.047289527,292761.2150161285,292761.2150161285,6.025969453628481,0,79950.20564842482,3.6617943961710933
Upper middle income,DALY,Naive,2017,1,4163097.716688447,4105745.1459060865,3931438.485233022,4280051.806579151,57352.57078236062,57352.57078236062,1.377641715025175,1,79950.20564842482,0.7173536367694207
