model,origin,h,target_year,DALY_actual,DALY_point,DALY_scenario_low,DALY_scenario_high,DALY_covered,DALY_ape,VLW_actual,VLW_point,VLW_scenario_low,VLW_scenario_high,VLW_covered,VLW_ape,rel_width_DALY,n_group_draws_nonpositive
ARIMA,2022,1,2023,6468654.8701936295,6581920.994586691,6434700.668847132,6727055.833956041,1,1.750999653961617,771.969704916931,791.3451378169573,773.3308207418067,809.0706542241519,0,2.5098695941845475,4.441790859376125,0
Naive,2009,1,2010,4152048.421265119,4046868.3748487006,3878698.323063803,4212051.060873574,1,2.5332085694793154,517.5931846585214,506.9531173931551,485.4422304170338,528.2062775642862,1,2.0556814851389587,8.237301214973016,0
Naive,2009,2,2011,4235920.825938205,4046868.3748487006,3812847.3909033807,4282692.341745007,1,4.463078014392108,526.2887915493195,506.9531173931551,476.92067048769974,537.2299378556093,1,3.6739665496661917,11.610087290254212,0
Naive,2009,3,2012,4333189.879435751,4046868.3748487006,3759181.182619733,4334186.345063712,1,6.6076380808018875,536.698435668542,506.9531173931551,469.92963547679335,543.8074754522478,1,5.542277804170309,14.208645035693241,0
Naive,2009,4,2013,4393727.959245902,4046868.3748487006,3715167.8894941397,4376937.202129542,0,7.894425590626068,542.0450192527753,506.9531173931551,464.26048402563015,549.508101588339,1,6.473982900533877,16.35262754648262,0
Naive,2009,5,2014,4530578.906771354,4046868.3748487006,3675738.0311561404,4415752.904789334,0,10.676572285270327,558.1176685195273,506.9531173931551,459.5019215528492,554.4598211524835,0,9.167341227897737,18.28611175575634,0
Naive,2009,6,2015,4725079.203087951,4046868.3748487006,3640529.6978088035,4453632.669756549,0,14.35342772235487,581.0488858465535,506.9531173931551,454.5966975413342,559.5164454755044,0,12.752071341715993,20.09215266306123,0
Naive,2010,1,2011,4235920.825938205,4152048.421265119,3984916.562386031,4316122.387721647,1,1.9800276756709514,526.2887915493195,517.5931846585213,496.202864522242,538.6432436359953,1,1.6522500631639112,7.97692588649287,0
Naive,2010,2,2012,4333189.879435751,4152048.421265119,3919317.6935586836,4386308.027890959,1,4.1803258848702685,536.698435668542,517.5931846585213,487.7420168979227,547.5791400912384,1,3.5597739326782403,11.247227559788051,0
Naive,2010,3,2013,4393727.959245902,4152048.421265119,3866069.5177487317,4437673.480970111,1,5.500557618097547,542.0450192527753,517.5931846585213,480.92577605959116,554.2579153955983,1,4.51103390415091,13.766794247722494,0
Naive,2010,4,2014,4530578.906771354,4152048.421265119,3822194.7573550073,4479536.018238975,0,8.3550136372305,558.1176685195273,517.5931846585213,475.19912304453976,559.7505524447354,1,7.260921154584121,15.83173398261278,0
Naive,2010,5,2015,4725079.203087951,4152048.421265119,3784973.2753948346,4518103.101998703,0,12.127432307342968,581.0488858465535,517.5931846585213,470.6529455256229,564.7947888620993,0,10.920888540312928,17.657063507474348,0
Naive,2010,6,2016,4994006.586104154,4152048.421265119,3746111.1447135746,4557732.366618079,0,16.859372336067537,613.7476956742455,517.5931846585213,465.7541981552386,569.8139351359475,0,15.666781593386128,19.547489324732044,0
Naive,2011,1,2012,4333189.879435751,4235920.825938205,4072514.6986884177,4397035.472208894,1,2.244744777032743,536.698435668542,526.2887915493195,505.30371956489313,547.0017644539676,1,1.9395704230543531,7.661162397873637,0
Naive,2011,2,2013,4393727.959245902,4235920.825938205,4007795.070795071,4465677.180310549,1,3.5916455176888293,542.0450192527753,526.2887915493195,496.8706032926199,555.7807074471756,1,2.90681163811379,10.809505850810208,0
Naive,2011,3,2014,4530578.906771354,4235920.825938205,3954713.905305668,4516198.036858755,0,6.5037622541515905,558.1176685195273,526.2887915493195,490.1541301911366,562.2931020600556,1,5.702897214244743,13.255302793076297,0
Naive,2011,4,2015,4725079.203087951,4235920.825938205,3912604.1912764073,4559188.626111219,0,10.35238471410319,581.0488858465535,526.2887915493195,484.61727725938704,567.750521148166,0,9.424352344717398,15.264318229829065,0
Naive,2011,5,2016,4994006.586104154,4235920.825938205,3874904.17679057,4595234.610306966,0,15.179911101345473,613.7476956742455,526.2887915493195,479.9843504004398,572.6743275988861,0,14.249976780580198,17.005285582901607,0
Naive,2011,6,2017,5230668.763601395,4235920.825938205,3839104.506611971,4634243.389590286,0,19.017605255093443,640.9996073208337,526.2887915493195,475.33212117649947,577.7048557561886,0,17.895614047404397,18.771334867955208,0
Naive,2012,1,2013,4393727.959245902,4333189.879435751,4171405.4586445084,4493123.666047948,1,1.3778294963109434,542.0450192527753,536.698435668542,515.9065101051427,557.2117124146171,1,0.9863726063941683,7.424512111279388,0
Naive,2012,2,2014,4530578.906771354,4333189.879435751,4106580.19010947,4561295.533473998,1,4.356816896855901,558.1176685195273,536.698435668542,507.46345716435405,565.9992588444333,1,3.837762905410686,10.493778394583979,0
Naive,2012,3,2015,4725079.203087951,4333189.879435751,4054438.116229472,4611461.793536489,0,8.29381491417311,581.0488858465535,536.698435668542,500.81001527260264,572.4161253574348,0,7.632825956355738,12.854818108722018,0
Naive,2012,4,2016,4994006.586104154,4333189.879435751,4011940.101004447,4653977.948226396,0,13.232195338050385,613.7476956742455,536.698435668542,495.28299359651135,577.6914570890972,0,12.55389805106469,14.816748517504443,0
Naive,2012,5,2017,5230668.763601395,4333189.879435751,3975012.2132912874,4690904.823077924,0,17.15801410349136,640.9996073208337,536.698435668542,490.7739917706094,582.6350716496053,0,16.271643611177254,16.521145615706477,0
Naive,2012,6,2018,5340356.51562367,4333189.879435751,3939462.77158218,4729204.804594717,0,18.85953930681158,651.1298257189403,536.698435668542,486.17324351434104,587.9152162553661,0,17.574281737754795,18.2254194943189,0
