Country,Sex,Income Group,DALYs,VLW (billion USD),VLW undiscounted (billion USD),VLW/GDP (%)
Suriname,Female,Upper middle income,440 (312<e2><80><93>594),0.027 (0.019<e2><80><93>0.036),0.012 (0.008<e2><80><93>0.016),0.2036 (0.1445<e2><80><93>0.2749)
Mauritania,Male,Lower middle income,"1,195 (788<e2><80><93>1,765)",0.014 (0.009<e2><80><93>0.021),0.007 (0.004<e2><80><93>0.010),0.0398 (0.0263<e2><80><93>0.0588)
Mauritania,Female,Lower middle income,"1,144 (731<e2><80><93>1,600)",0.013 (0.009<e2><80><93>0.019),0.006 (0.004<e2><80><93>0.009),0.0381 (0.0244<e2><80><93>0.0533)
Madagascar,Male,Low income,"5,837 (3,731<e2><80><93>8,713)",0.009 (0.006<e2><80><93>0.013),0.005 (0.003<e2><80><93>0.007),0.0159 (0.0102<e2><80><93>0.0238)
Madagascar,Female,Low income,"5,596 (3,504<e2><80><93>8,559)",0.009 (0.005<e2><80><93>0.013),0.004 (0.003<e2><80><93>0.007),0.0153 (0.0096<e2><80><93>0.0234)
Jordan,Male,Lower middle income,"8,813 (6,325<e2><80><93>11,675)",0.188 (0.135<e2><80><93>0.249),0.078 (0.056<e2><80><93>0.103),0.1575 (0.1131<e2><80><93>0.2087)
Jordan,Female,Lower middle income,"4,733 (3,446<e2><80><93>6,274)",0.101 (0.073<e2><80><93>0.134),0.042 (0.031<e2><80><93>0.056),0.0846 (0.0616<e2><80><93>0.1122)
Vanuatu,Male,Lower middle income,91 (55<e2><80><93>142),0.000 (0.000<e2><80><93>0.001),0.000 (0.000<e2><80><93>0.000),0.0340 (0.0206<e2><80><93>0.0532)
Vanuatu,Female,Lower middle income,48 (31<e2><80><93>70),0.000 (0.000<e2><80><93>0.000),0.000 (0.000<e2><80><93>0.000),0.0179 (0.0115<e2><80><93>0.0260)
Albania,Male,Upper middle income,"3,406 (2,613<e2><80><93>4,283)",0.256 (0.196<e2><80><93>0.322),0.106 (0.081<e2><80><93>0.133),0.4393 (0.3369<e2><80><93>0.5523)
Albania,Female,Upper middle income,"1,878 (1,229<e2><80><93>2,450)",0.141 (0.092<e2><80><93>0.184),0.056 (0.037<e2><80><93>0.073),0.2421 (0.1585<e2><80><93>0.3159)
Ukraine,Male,Upper middle income,"81,215 (68,679<e2><80><93>97,074)",3.822 (3.232<e2><80><93>4.568),1.827 (1.545<e2><80><93>2.184),0.6135 (0.5188<e2><80><93>0.7333)
Ukraine,Female,Upper middle income,"50,708 (41,705<e2><80><93>60,860)",2.386 (1.962<e2><80><93>2.864),1.006 (0.828<e2><80><93>1.208),0.3831 (0.3151<e2><80><93>0.4598)
Zambia,Male,Lower middle income,"1,853 (1,127<e2><80><93>2,734)",0.010 (0.006<e2><80><93>0.014),0.005 (0.003<e2><80><93>0.008),0.0114 (0.0070<e2><80><93>0.0169)
Zambia,Female,Lower middle income,"1,694 (1,137<e2><80><93>2,408)",0.009 (0.006<e2><80><93>0.013),0.005 (0.003<e2><80><93>0.007),0.0105 (0.0070<e2><80><93>0.0149)
Serbia,Male,Upper middle income,"20,857 (16,845<e2><80><93>25,572)",2.038 (1.646<e2><80><93>2.498),0.877 (0.708<e2><80><93>1.075),1.0701 (0.8642<e2><80><93>1.3120)
Serbia,Female,Upper middle income,"17,373 (14,503<e2><80><93>21,910)",1.697 (1.417<e2><80><93>2.140),0.704 (0.588<e2><80><93>0.888),0.8913 (0.7441<e2><80><93>1.1241)
Argentina,Male,Upper middle income,"69,158 (61,433<e2><80><93>77,623)",7.282 (6.468<e2><80><93>8.173),3.109 (2.762<e2><80><93>3.489),0.5291 (0.4700<e2><80><93>0.5939)
Argentina,Female,Upper middle income,"67,190 (58,003<e2><80><93>76,232)",7.075 (6.107<e2><80><93>8.027),2.908 (2.510<e2><80><93>3.299),0.5140 (0.4438<e2><80><93>0.5832)
Honduras,Male,Lower middle income,"2,338 (1,519<e2><80><93>3,333)",0.028 (0.019<e2><80><93>0.041),0.012 (0.008<e2><80><93>0.018),0.0373 (0.0242<e2><80><93>0.0532)
Honduras,Female,Lower middle income,"3,548 (2,331<e2><80><93>5,135)",0.043 (0.028<e2><80><93>0.063),0.019 (0.012<e2><80><93>0.027),0.0566 (0.0372<e2><80><93>0.0819)
Ecuador,Male,Upper middle income,"8,571 (7,450<e2><80><93>9,692)",0.345 (0.300<e2><80><93>0.390),0.151 (0.131<e2><80><93>0.170),0.1205 (0.1048<e2><80><93>0.1363)
Ecuador,Female,Upper middle income,"8,717 (7,708<e2><80><93>9,729)",0.351 (0.310<e2><80><93>0.392),0.145 (0.128<e2><80><93>0.162),0.1226 (0.1084<e2><80><93>0.1368)
Cabo Verde,Male,Upper middle income,356 (233<e2><80><93>493),0.007 (0.005<e2><80><93>0.010),0.003 (0.002<e2><80><93>0.004),0.1383 (0.0904<e2><80><93>0.1913)
Cabo Verde,Female,Upper middle income,556 (387<e2><80><93>784),0.012 (0.008<e2><80><93>0.016),0.005 (0.003<e2><80><93>0.007),0.2159 (0.1502<e2><80><93>0.3044)
Lesotho,Male,Lower middle income,543 (345<e2><80><93>784),0.002 (0.001<e2><80><93>0.002),0.001 (0.001<e2><80><93>0.001),0.0253 (0.0161<e2><80><93>0.0365)
Lesotho,Female,Lower middle income,515 (329<e2><80><93>709),0.002 (0.001<e2><80><93>0.002),0.001 (0.001<e2><80><93>0.001),0.0240 (0.0153<e2><80><93>0.0330)
Iran (Islamic Republic of),Male,Upper middle income,"50,585 (35,302<e2><80><93>67,856)",2.638 (1.841<e2><80><93>3.538),1.112 (0.776<e2><80><93>1.491),0.1539 (0.1074<e2><80><93>0.2064)
Iran (Islamic Republic of),Female,Upper middle income,"28,710 (20,072<e2><80><93>38,964)",1.497 (1.047<e2><80><93>2.032),0.628 (0.439<e2><80><93>0.853),0.0873 (0.0611<e2><80><93>0.1185)
