Country,Sex,Income Group,DALYs (point estimate),VLW (billion constant-2023 USD; point estimate),VLW undiscounted (billion constant-2023 USD),VLW/GDP (%; point estimate)
Maldives,Both,Upper middle income,256,0.066,0.028,0.5095
Myanmar,Both,Lower middle income,53369,6.792,3.31,2.1076
Philippines,Both,Lower middle income,80755,13.961,6.178,1.1061
Sri Lanka,Both,Lower middle income,20990,4.163,1.744,1.3067
Thailand,Both,Upper middle income,139485,35.284,14.789,2.0923
Timor-Leste,Both,Lower middle income,629,0.072,0.033,1.0812
Viet Nam,Both,Lower middle income,97483,19.715,8.34,1.3068
Fiji,Both,Upper middle income,870,0.174,0.083,1.2838
Kiribati,Both,Lower middle income,21,0.002,0.001,0.4454
Marshall Islands,Both,Upper middle income,49,0.007,0.003,2.3835
Micronesia (Federated States of),Both,Lower middle income,80,0.009,0.004,1.8024
Papua New Guinea,Both,Lower middle income,4367,0.492,0.237,1.0147
Samoa,Both,Upper middle income,147,0.022,0.01,1.2351
Solomon Islands,Both,Lower middle income,596,0.05,0.025,2.4104
Tonga,Both,Upper middle income,126,0.018,0.008,2.2554
Vanuatu,Both,Lower middle income,139,0.014,0.006,1.1966
Armenia,Both,Upper middle income,8606,2.083,0.858,3.2634
Azerbaijan,Both,Upper middle income,13596,3.449,1.541,1.4362
Georgia,Both,Upper middle income,9616,2.512,1.105,2.6961
Kazakhstan,Both,Upper middle income,27678,8.96,3.91,1.1442
Kyrgyzstan,Both,Lower middle income,6771,0.954,0.409,1.8415
Mongolia,Both,Upper middle income,6361,1.408,0.629,2.2462
Tajikistan,Both,Lower middle income,3357,0.39,0.174,0.7566
Turkmenistan,Both,Upper middle income,3611,0.839,0.38,0.5743
Uzbekistan,Both,Lower middle income,20241,3.519,1.555,0.8886
Albania,Both,Upper middle income,5284,1.354,0.554,2.3243
Bosnia and Herzegovina,Both,Upper middle income,12762,3.159,1.327,4.405
North Macedonia,Both,Upper middle income,6323,1.634,0.688,3.6432
Montenegro,Both,Upper middle income,2351,0.684,0.289,3.529
Serbia,Both,Upper middle income,38231,10.692,4.528,5.6154
Belarus,Both,Upper middle income,32045,9.282,4.077,3.2796
Republic of Moldova,Both,Upper middle income,11900,2.615,1.128,5.9949
Ukraine,Both,Upper middle income,131923,28.922,13.201,4.6433
Argentina,Both,Upper middle income,136348,39.098,16.385,2.8409
Belize,Both,Upper middle income,444,0.086,0.037,1.5193
Dominica,Both,Upper middle income,154,0.036,0.016,2.682
Dominican Republic,Both,Upper middle income,16119,4.274,1.913,1.4597
Grenada,Both,Upper middle income,265,0.06,0.026,2.7082
Haiti,Both,Lower middle income,9275,0.878,0.468,2.2914
Jamaica,Both,Upper middle income,3773,0.7,0.301,1.9484
Saint Lucia,Both,Upper middle income,355,0.094,0.04,2.026
Saint Vincent and the Grenadines,Both,Upper middle income,193,0.045,0.02,2.2316
Suriname,Both,Upper middle income,992,0.238,0.107,1.7914
Bolivia (Plurinational State of),Both,Lower middle income,18023,3.375,1.529,2.1383
Ecuador,Both,Upper middle income,17288,3.598,1.53,1.257
Peru,Both,Upper middle income,50989,10.969,4.631,1.9052
Colombia,Both,Upper middle income,63591,15.18,6.24,1.3853
El Salvador,Both,Upper middle income,9740,1.809,0.806,2.2612
Guatemala,Both,Upper middle income,9985,1.931,0.874,0.7751
Honduras,Both,Lower middle income,5886,0.823,0.355,1.0766
Mexico,Both,Upper middle income,149820,39.009,17.081,1.2067
Nicaragua,Both,Lower middle income,5265,0.792,0.341,1.3954
Brazil,Both,Upper middle income,395519,94.936,41.162,2.1233
Paraguay,Both,Upper middle income,9015,1.971,0.882,1.6394
Algeria,Both,Upper middle income,20716,4.432,1.896,0.5707
Egypt,Both,Lower middle income,125082,28.081,12.981,1.3235
Iran (Islamic Republic of),Both,Upper middle income,79295,17.989,7.571,1.0495
Iraq,Both,Upper middle income,57939,11.568,5.358,1.7516
Jordan,Both,Lower middle income,13545,2.28,0.948,1.9141
Lebanon,Both,Lower middle income,11587,2.143,0.906,2.9521
Libya,Both,Upper middle income,9852,1.912,0.89,1.8903
Morocco,Both,Lower middle income,21304,3.496,1.544,0.9226
Palestine,Both,Lower middle income,3924,0.499,0.252,1.6242
Tunisia,Both,Lower middle income,20364,3.98,1.729,2.3235
Türkiye,Both,Upper middle income,202960,69.579,29.862,1.8878
Afghanistan,Both,Low income,4763,0.369,0.183,0.4039
Bangladesh,Both,Lower middle income,86463,13.641,6.189,0.8696
Bhutan,Both,Lower middle income,332,0.07,0.031,0.5473
India,Both,Lower middle income,591785,99.179,45.322,0.6681
Nepal,Both,Lower middle income,8928,1.082,0.479,0.6752
Pakistan,Both,Lower middle income,94823,12.129,5.688,0.8149
Angola,Both,Lower middle income,10743,1.75,0.892,0.4882
Central African Republic,Both,Low income,1256,0.073,0.044,1.1337
Congo,Both,Lower middle income,2254,0.308,0.157,0.7266
Democratic Republic of the Congo,Both,Low income,31893,2.188,1.164,1.1953
Equatorial Guinea,Both,Upper middle income,985,0.214,0.113,0.6661
Gabon,Both,Upper middle income,1375,0.327,0.159,0.6333
Burundi,Both,Low income,3378,0.189,0.099,1.2004
Comoros,Both,Lower middle income,166,0.017,0.007,0.5223
Djibouti,Both,Lower middle income,567,0.079,0.037,0.9542
Kenya,Both,Lower middle income,24996,3.277,1.51,0.9374
Madagascar,Both,Low income,11433,0.802,0.408,1.4215
Malawi,Both,Low income,2735,0.193,0.1,0.4996
Mauritius,Both,Upper middle income,2408,0.683,0.301,1.8498000000000001
Mozambique,Both,Low income,1161,0.078,0.04,0.139
Rwanda,Both,Low income,7566,0.728,0.362,1.5339
Somalia,Both,Low income,2159,0.14,0.07,0.4919
United Republic of Tanzania,Both,Lower middle income,10107,1.057,0.493,0.4073
Uganda,Both,Low income,20303,1.864,0.915,1.2366
Zambia,Both,Lower middle income,3547,0.374,0.196,0.4421
Botswana,Both,Upper middle income,1282,0.307,0.144,0.5882
